UF,Clube,Cidade,Série A,R,Série B,P,R,Série C,P,R,Série D,P
PR,ADAP †,Campo Mourão,0,–,0,–,–,1,–,–,0,–
AC,ADESG †,Senador Guiomard,0,–,0,–,–,1,–,–,0,–
TO,Alvorada,Alvorada,0,–,0,–,–,1,–,–,0,–
PB,América de Esperança †,Esperança,0,–,0,–,–,1,–,–,0,–
SP,Araçatuba,Araçatuba,0,–,0,–,–,1,–,–,0,–
RO,SE Ariquemes †,Ariquemes,0,–,0,–,–,1,–,–,0,–
MG,Atlético Três Corações,Três Corações,0,–,0,–,–,1,–,–,0,–
RJ,Barra de Teresópolis †,Teresópolis,0,–,0,–,–,1,–,–,0,–
RJ,Barra Mansa,Barra Mansa,0,–,0,–,–,1,–,–,0,–
AL,Batalhense †,Belém,0,–,0,–,–,1,–,–,0,–
RJ,Bayer †,Belford Roxo,0,–,0,–,–,1,–,–,0,–
SC,Caçadorense †,Caçador,0,–,0,–,–,1,–,–,0,–
MT,Cacerense,Cáceres,0,–,0,–,–,1,–,–,0,–
ES,Cachoeiro †,Cachoeiro de Itapemirim,0,–,0,–,–,1,–,–,0,–
GO,Caldas,Caldas Novas,0,–,0,–,–,1,–,–,0,–
SC,Caxias-SC,Joinville,0,–,0,–,–,1,–,–,0,–
PE,Centro Limoeirense,Limoeiro,0,–,0,–,–,1,–,–,0,–
